Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,1.27,1.3,1.225,1.25,582800,1.25
2014-04-01,1.25,1.315,1.205,1.28,488600,1.28
2014-05-01,1.28,1.2919999999999998,1.23,1.245,478000,1.245
2014-06-02,1.25,1.26,1.18,1.23,263900,1.23
2014-07-01,1.22,1.29,1.205,1.24,297800,1.24
2014-08-01,1.24,1.31,1.225,1.245,481300,1.245
2014-09-01,1.245,1.375,1.22,1.32,563300,1.32
2014-10-01,1.32,1.492,1.3,1.4,816000,1.4
2014-11-03,1.41,1.605,1.375,1.52,826500,1.52
2014-12-01,1.515,1.535,1.385,1.48,539700,1.48
2015-01-01,1.48,1.67,1.45,1.6,621000,1.6
2015-02-02,1.58,1.62,1.48,1.6,3593500,1.6
2015-03-02,1.6,1.645,1.55,1.605,1385600,1.605
2015-04-01,1.575,1.69,1.575,1.62,827000,1.62
2015-05-01,1.62,1.65,1.375,1.39,1670900,1.39
2015-06-01,1.39,1.4,1.22,1.235,1293400,1.235
2015-07-01,1.24,1.45,1.2,1.43,1424900,1.43
2015-08-03,1.445,1.445,1.235,1.33,1146800,1.33
2015-09-01,1.315,1.33,1.22,1.295,1102300,1.295
2015-10-01,1.295,1.55,1.265,1.51,1249000,1.51
2015-11-02,1.515,1.5519999999999998,1.385,1.48,1202800,1.48
2015-12-01,1.485,1.51,1.31,1.345,1614600,1.345
2016-01-01,1.345,1.365,1.26,1.335,1531500,1.335
2016-02-01,1.345,1.35,1.12,1.2,1853900,1.2
2016-03-01,1.2,1.335,1.19,1.3,1424500,1.3
2016-04-01,1.295,1.4475,1.235,1.435,1999200,1.435
2016-05-02,1.41,1.7875,1.41,1.75,2301600,1.75
2016-06-01,1.735,2.01,1.73,1.765,2649500,1.765
2016-07-01,1.775,2.13,1.775,2.03,1783600,2.03
2016-08-01,2.04,2.08,1.755,1.775,1508200,1.775
2016-09-01,1.765,1.795,1.545,1.635,1722800,1.635
2016-10-03,1.64,1.97,1.635,1.745,1374000,1.745
2016-11-01,1.745,1.79,1.59,1.655,1042900,1.655
2016-12-01,1.655,1.695,1.555,1.695,1028700,1.695
2017-01-02,1.695,1.75,1.45,1.465,1057100,1.465
2017-02-01,1.485,1.5419999999999998,1.4,1.42,1360700,1.42
2017-03-01,1.44,1.44,1.38,1.4,3724200,1.4
