Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,4.21,4.375,3.65,4.01,2999600,3.33169
2014-04-01,4.03,4.03,3.83,3.91,1517000,3.2486099999999998
2014-05-01,3.92,3.94,3.37,3.37,2053800,2.79995
2014-06-02,3.35,3.515,3.15,3.45,3286300,2.86642
2014-07-01,3.48,3.75,3.44,3.66,1784300,3.04089
2014-08-01,3.62,3.71,3.38,3.55,2189000,2.9495
2014-09-01,3.58,3.66,3.21,3.21,1497800,2.75224
2014-10-01,3.21,3.39,3.12,3.36,1402800,2.88085
2014-11-03,3.34,3.52,3.27,3.43,1427600,2.94087
2014-12-01,3.43,3.645,3.36,3.57,1516800,3.0609
2015-01-01,3.57,3.72,3.5,3.58,1064900,3.06948
2015-02-02,3.59,4.33,3.56,4.28,1652600,3.66965
2015-03-02,4.28,4.6,4.21,4.53,2389500,4.00369
2015-04-01,4.46,4.75,4.43,4.52,1181300,3.99485
2015-05-01,4.55,4.8,4.3,4.65,1632800,4.10974
2015-06-01,4.62,4.67,4.24,4.31,1287200,3.80925
2015-07-01,4.26,4.855,4.26,4.73,1280900,4.18045
2015-08-03,4.78,5.005,4.18,4.51,1781500,3.98601
2015-09-01,4.5,4.55,4.21,4.35,1674600,4.00007
2015-10-01,4.36,4.52,4.0,4.19,1831800,3.8529400000000003
2015-11-02,4.21,4.475,4.1,4.34,1797400,3.9908699999999997
2015-12-01,4.34,4.82,4.2,4.75,1490000,4.36789
2016-01-01,4.75,4.86,4.32,4.73,1657100,4.3495
2016-02-01,4.78,5.09,4.485,4.95,2038700,4.5518
2016-03-01,4.95,5.17,4.785,5.07,1946000,4.809130000000001
2016-04-01,5.04,5.26,4.97,5.17,1445600,4.90399
2016-05-02,5.15,5.71,5.11,5.68,1525100,5.38775
2016-06-01,5.61,5.62,5.095,5.57,1558900,5.28341
2016-07-01,5.58,5.99,5.5,5.91,1435000,5.60591
2016-08-01,5.96,5.995,5.06,5.25,1576000,4.97987
2016-09-01,5.3,5.57,5.12,5.54,2497700,5.37746
2016-10-03,5.58,5.68,5.235,5.35,1509300,5.19303
2016-11-01,5.3,5.35,5.06,5.12,1540900,4.96978
2016-12-01,5.14,5.45,4.9,5.43,1344400,5.27069
2017-01-02,5.43,5.49,5.105,5.12,1305400,4.96978
2017-02-01,5.14,5.57,5.03,5.37,1911800,5.21245
2017-03-01,5.4,5.47,5.34,5.4,15934400,5.241569999999999
