Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,14.6416,14.8428,14.2296,14.5458,1617200,12.31114
2014-04-01,14.4691,15.274000000000001,14.2104,15.1111,1111300,12.7896
2014-05-01,15.1686,15.5902,14.747,14.7566,1379700,12.48956
2014-06-02,14.8141,15.0441,14.3829,14.8332,1768300,12.55439
2014-07-01,14.7566,15.2501,13.9038,14.1625,1930300,11.98673
2014-08-01,14.0858,14.55,13.8175,14.1,1953300,11.93383
2014-09-01,14.1,14.17,13.355,13.54,2597500,11.85569
2014-10-01,13.44,13.955,13.32,13.59,1796700,11.89948
2014-11-03,13.61,13.9,13.0,13.11,1932900,11.47918
2014-12-01,13.1,13.73,12.55,13.36,1454600,11.698089999999999
2015-01-01,13.36,14.4,13.12,14.2,1424400,12.433589999999999
2015-02-02,14.2,15.55,14.16,15.05,2214600,13.553579999999998
2015-03-02,14.93,15.37,14.35,15.2,1654500,13.688670000000002
2015-04-01,15.22,15.58,14.83,15.19,1306500,13.67966
2015-05-01,15.26,16.66,14.55,16.23,2131600,14.61625
2015-06-01,16.23,16.7,15.35,15.55,2023000,14.003870000000001
2015-07-01,15.5,16.69,15.32,16.68,1869500,15.021510000000001
2015-08-03,16.65,17.25,15.54,16.89,2456300,15.6737
2015-09-01,16.74,16.9,15.24,15.97,2221100,14.81996
2015-10-01,16.12,16.86,15.62,16.73,1713000,15.525229999999999
2015-11-02,16.78,17.05,15.9,16.55,2084200,15.358189999999999
2015-12-01,16.47,18.15,16.37,18.08,1808300,16.778010000000002
2016-01-01,18.08,18.74,17.28,18.6,2094900,17.26056
2016-02-01,18.8,19.65,18.0,18.34,2549300,17.44647
2016-03-01,18.3,18.67,17.98,18.4,1682100,17.50355
2016-04-01,18.31,18.63,17.92,18.29,1314300,17.39891
2016-05-02,18.2,19.21,18.2,18.59,2195000,17.68429
2016-06-01,18.56,19.29,18.13,19.29,2059200,18.350189999999998
2016-07-01,19.18,20.64,19.03,20.58,2599900,19.57734
2016-08-01,20.55,20.95,18.51,18.55,2209200,18.13243
2016-09-01,18.52,19.44,16.51,19.05,2916300,18.62118
2016-10-03,19.2,19.55,18.6,19.18,1932900,18.74825
2016-11-01,19.03,21.02,18.93,20.98,2470400,20.50773
2016-12-01,20.97,22.28,20.45,22.09,1583900,21.59275
2017-01-02,22.09,22.95,21.78,22.6,1364000,22.09127
2017-02-01,22.66,24.95,22.58,24.12,2407200,24.12
2017-03-01,24.1,24.35,23.975,24.19,3012800,24.19
