Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,5.0,5.55,4.9,5.38,2519300,5.043880000000001
2014-04-01,5.39,5.4,4.88,5.03,1868500,4.71575
2014-05-01,5.07,5.48,4.9,5.31,2144400,4.97826
2014-06-02,5.25,5.54,5.1,5.26,1764400,5.00681
2014-07-01,5.24,5.82,5.21,5.7,2431300,5.42563
2014-08-01,5.59,5.77,5.32,5.53,1703400,5.263809999999999
2014-09-01,5.51,5.97,5.23,5.84,2269600,5.55889
2014-10-01,5.79,6.88,5.72,6.41,2328900,6.101459999999999
2014-11-03,6.35,6.95,6.17,6.51,1604100,6.27175
2014-12-01,6.45,6.92,6.2,6.56,1490000,6.31992
2015-01-01,6.56,7.18,6.21,7.02,1847900,6.763089999999999
2015-02-02,6.94,7.65,6.85,7.44,1653700,7.16772
2015-03-02,7.36,8.5,7.13,8.43,2290200,8.12149
2015-04-01,8.34,8.74,8.02,8.32,2594700,8.01551
2015-05-01,8.42,8.61,7.725,7.8,8604500,7.591419999999999
2015-06-01,7.85,8.03,7.13,7.65,3102500,7.44543
2015-07-01,7.81,8.66,7.68,8.57,2102300,8.34083
2015-08-03,8.6,9.0,7.85,8.44,2357800,8.2143
2015-09-01,8.32,8.68,7.92,8.61,2571200,8.379760000000001
2015-10-01,8.67,9.37,8.64,9.32,2143800,9.07077
2015-11-02,9.31,9.95,8.95,9.49,1988900,9.32419
2015-12-01,9.4,10.47,9.34,10.21,1795100,10.03161
2016-01-01,10.21,10.34,9.09,10.25,1666400,10.070910000000001
2016-02-01,10.29,10.68,9.24,10.0,1926400,9.825280000000001
2016-03-01,9.96,10.37,9.58,10.3,1747100,10.12004
2016-04-01,10.25,10.43,9.63,10.0,1802900,9.825280000000001
2016-05-02,9.94,13.08,9.84,12.86,2558300,12.63531
2016-06-01,12.82,13.8,12.64,13.8,2654800,13.66515
2016-07-01,13.8,15.97,12.975,15.94,2732100,15.784229999999999
2016-08-01,15.99,16.195,14.88,15.1,1779800,14.95244
2016-09-01,15.05,16.1,14.2,15.81,1859800,15.655510000000001
2016-10-03,15.89,16.68,14.8,15.34,1613800,15.1901
2016-11-01,15.3,15.74,13.33,15.0,2733500,14.853420000000002
2016-12-01,15.16,15.79,14.84,15.5,1876400,15.5
2017-01-02,15.5,16.23,15.11,15.28,1496300,15.28
2017-02-01,15.2,17.0,15.01,16.6,1879300,16.6
2017-03-01,16.59,16.73,16.55,16.73,5973600,16.73
