Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,0.595,0.605,0.56,0.565,360200,0.48502
2014-04-01,0.57,0.585,0.49,0.58,513300,0.49788999999999994
2014-05-01,0.58,0.5975,0.507,0.515,435200,0.45921000000000006
2014-06-02,0.51,0.64,0.51,0.59,516100,0.52608
2014-07-01,0.605,0.63,0.58,0.6,244200,0.535
2014-08-01,0.6,0.615,0.555,0.585,283200,0.52162
2014-09-01,0.58,0.725,0.575,0.675,548300,0.60187
2014-10-01,0.675,0.82,0.655,0.805,907000,0.7177899999999999
2014-11-03,0.82,0.96,0.78,0.84,798600,0.7749199999999999
2014-12-01,0.84,0.975,0.755,0.86,524300,0.79337
2015-01-01,0.86,0.92,0.805,0.91,606400,0.8395
2015-02-02,0.91,1.165,0.9,1.14,920900,1.05168
2015-03-02,1.14,1.905,1.14,1.815,1793200,1.67438
2015-04-01,1.8,1.84,1.54,1.675,1128400,1.5452299999999999
2015-05-01,1.65,1.885,1.54,1.795,1754400,1.6852900000000002
2015-06-01,1.83,1.83,1.385,1.5,941600,1.40832
2015-07-01,1.5,1.8,1.42,1.59,760600,1.49282
2015-08-03,1.6,1.745,1.5,1.625,627600,1.52568
2015-09-01,1.587,1.64,1.465,1.515,515500,1.42241
2015-10-01,1.545,2.0,1.51,1.98,1177500,1.8589900000000001
2015-11-02,1.98,2.13,1.805,2.05,1468300,1.9601400000000002
2015-12-01,2.04,2.19,1.92,1.93,1473800,1.8454
2016-01-01,1.93,2.13,1.83,2.09,922900,1.99839
2016-02-01,2.09,2.24,1.86,1.945,1413700,1.8597400000000002
2016-03-01,1.94,1.995,1.65,1.955,1097300,1.8693
2016-04-01,1.95,2.09,1.8,1.96,1232300,1.87408
2016-05-02,1.975,2.07,1.83,1.865,1132600,1.81487
2016-06-01,1.86,1.875,1.565,1.68,1552700,1.63484
2016-07-01,1.68,1.97,1.655,1.92,1406300,1.8683900000000002
2016-08-01,1.95,1.96,1.75,1.775,1210500,1.7272900000000002
2016-09-01,1.765,1.955,1.69,1.93,1381400,1.87812
2016-10-03,1.94,2.08,1.835,1.9,1522500,1.8489200000000001
2016-11-01,1.895,1.915,1.655,1.905,2081400,1.905
2016-12-01,1.91,2.08,1.815,2.06,1405400,2.06
2017-01-02,2.06,2.1,1.865,1.885,1082500,1.885
2017-02-01,1.885,1.975,1.845,1.9,1498400,1.9
2017-03-01,1.92,1.9275,1.895,1.905,2934600,1.905
