Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,36.55,37.01,35.62,36.07,528500,30.62435
2014-04-01,35.92,36.14,34.66,35.54,443600,30.17437
2014-05-01,35.7,36.66,35.04,35.98,482700,30.547940000000004
2014-06-02,36.11,36.38,35.1,35.64,496000,30.25927
2014-07-01,35.61,36.78,35.21,36.19,486500,30.726229999999997
2014-08-01,36.1,37.49,35.22,37.49,661900,31.82997
2014-09-01,37.48,37.74,35.49,35.86,519400,31.51952
2014-10-01,35.7,36.24,34.07,35.99,564700,31.633779999999998
2014-11-03,36.04,37.35,35.14,36.0,477200,31.642570000000003
2014-12-01,36.15,37.2,34.99,36.74,407000,32.293
2015-01-01,36.74,38.55,36.05,38.14,446900,33.523540000000004
2015-02-02,38.01,44.36,38.0,44.14,661300,38.797309999999996
2015-03-02,43.78,45.37,41.16,41.41,684500,37.5193
2015-04-01,41.14,43.99,41.1,42.15,552700,38.18977
2015-05-01,42.2,43.41,40.85,41.63,623100,37.71863
2015-06-01,41.3,41.67,39.19,39.9,606500,36.15117
2015-07-01,39.94,44.58,39.94,44.45,476700,40.27367
2015-08-03,45.0,45.0,37.83,39.44,728100,35.734390000000005
2015-09-01,39.5,39.97,36.66,37.88,723400,35.58728
2015-10-01,38.16,41.95,38.12,41.22,477700,38.725120000000004
2015-11-02,41.4,42.39,39.25,41.39,454400,38.88483
2015-12-01,41.32,42.74,39.28,42.46,442800,39.89006
2016-01-01,42.46,43.61,37.4,42.35,607800,39.78672
2016-02-01,42.71,43.25,38.4,42.03,610800,39.486090000000004
2016-03-01,41.82,43.29,40.65,41.43,582600,40.27017
2016-04-01,41.2,44.29,40.65,43.73,518700,42.50578
2016-05-02,43.53,45.56,43.01,44.51,514800,43.26395
2016-06-01,44.69,46.31,43.43,45.76,571500,44.47895
2016-07-01,45.88,49.72,45.65,49.7,593900,48.30865
2016-08-01,49.82,52.41,48.58,51.15,515300,49.718059999999994
2016-09-01,51.1,51.88,47.16,48.16,696700,48.16
2016-10-03,48.33,49.38,46.71,47.13,457800,47.13
2016-11-01,46.81,48.72,44.57,48.66,548100,48.66
2016-12-01,48.98,49.88,47.19,49.74,342300,49.74
2017-01-02,49.74,51.57,48.54,49.89,368600,49.89
2017-02-01,49.81,52.29,49.38,51.23,451700,51.23
2017-03-01,51.39,51.81,51.13,51.81,927800,51.81
