Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,35.1817,35.3873,32.8923,34.0791,8636500,29.341459999999998
2014-04-01,34.1538,36.0227,33.7801,35.2752,5865300,30.37128
2014-05-01,35.3873,35.948,34.3127,34.5837,6260900,29.775909999999996
2014-06-02,33.9763,34.6117,32.8363,33.5465,7759300,28.8829
2014-07-01,33.8174,36.7376,33.5838,36.1442,6927200,31.11947
2014-08-01,35.7891,37.1347,33.9669,34.266,9139900,29.502370000000003
2014-09-01,34.4248,34.565,31.3692,31.6495,8062600,28.018079999999998
2014-10-01,31.4907,32.1261,29.8134,31.7336,8650600,28.09253
2014-11-03,31.6776,32.6868,28.6593,28.8929,8572600,25.57776
2014-12-01,28.5846,28.8649,25.5009,27.4445,9433900,24.29555
2015-01-01,27.4445,27.6688,24.7627,27.3418,8821000,24.204639999999998
2015-02-02,27.6688,31.5935,27.6221,31.444000000000003,9101900,27.83615
2015-03-02,31.3879,32.042,27.1082,28.9957,8669200,26.702740000000002
2015-04-01,28.5565,30.631,26.9213,29.8741,7497800,27.51168
2015-05-01,30.36,31.1636,28.52,29.59,9033400,27.250040000000002
2015-06-01,29.22,29.28,26.635,27.05,7779100,24.91091
2015-07-01,26.58,27.46,24.9,26.45,8080700,24.35835
2015-08-03,26.3,26.83,22.41,25.18,9867800,23.188779999999998
2015-09-01,25.75,25.88,21.61,22.22,11307100,21.55731
2015-10-01,22.32,25.77,22.24,23.02,8724700,22.33345
2015-11-02,23.0,23.815,18.09,18.09,12481500,17.55048
2015-12-01,18.24,18.96,16.25,17.86,10481500,17.32734
2016-01-01,17.86,18.19,14.06,15.35,12170700,14.8922
2016-02-01,15.5,17.85,14.17,15.57,12564200,15.10564
2016-03-01,15.83,19.44,15.82,16.86,12163700,16.64164
2016-04-01,16.84,21.25,15.85,20.68,12991300,20.41216
2016-05-02,20.51,20.99,17.44,19.08,11072100,18.83288
2016-06-01,18.53,19.96,17.29,18.65,11119100,18.40845
2016-07-01,19.02,20.62,18.57,19.52,11248200,19.26719
2016-08-01,19.6,21.575,19.09,20.43,8806400,20.1654
2016-09-01,19.9,22.55,19.71,22.38,10161800,22.38
2016-10-03,22.61,23.87,22.04,23.07,8066700,23.07
2016-11-01,22.91,26.7,21.85,24.41,11761000,24.41
2016-12-01,25.51,26.66,24.61,25.06,8549100,25.06
2017-01-02,25.06,27.95,24.96,26.64,7160900,26.64
2017-02-01,27.2,27.34,24.77,25.0,8669100,25.0
2017-03-01,24.62,24.89,24.585,24.88,23174800,24.88
