Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,74.3472,77.34100000000001,73.4321,77.0227,3256900,61.503440000000005
2014-04-01,77.1719,79.5192,76.0878,78.4748,2063600,62.66296
2014-05-01,78.813,81.757,77.8283,81.1503,2806600,64.79938
2014-06-02,81.1702,82.2394,80.096,80.4442,2726600,64.23555
2014-07-01,80.5635,83.4678,79.4296,83.2987,2383800,66.51489000000001
2014-08-01,82.5627,82.6721,78.9423,80.8818,3326700,67.16872
2014-09-01,80.9613,81.5382,73.7156,74.8843,3607000,62.18806
2014-10-01,74.19800000000001,80.1159,73.1736,80.0463,3775400,66.47487
2014-11-03,79.9667,82.5527,79.3202,80.285,3114100,66.6731
2014-12-01,80.3148,86.1731,78.9721,85.1885,2996400,70.74524
2015-01-01,85.1885,89.515,82.4433,88.8486,3339100,73.78479
2015-02-02,88.8188,93.4537,88.3911,91.4247,3886600,78.30666
2015-03-02,91.4048,96.169,89.1172,92.8967,2784400,79.56745
2015-04-01,92.2999,95.2738,87.8142,88.3911,2370900,75.70834
2015-05-01,87.9236,89.15700000000001,80.5635,84.6315,3936400,72.48818
2015-06-01,84.3828,87.1279,78.7633,84.6712,3250500,72.52219000000001
2015-07-01,84.6911,88.40100000000001,83.7562,87.0882,2841500,74.59238
2015-08-03,87.2473,87.8938,71.42,75.08,4851300,66.91854000000001
2015-09-01,74.99,76.84,70.15,72.72,4619100,64.81508000000001
2015-10-01,73.39,78.25,72.66,76.73,2848200,68.38918000000001
2015-11-02,76.85,81.0,73.75,79.43,3110100,70.79568
2015-12-01,79.46,85.85,76.87,85.53,2755800,76.23258
2016-01-01,85.53,85.53,75.98,78.67,3259700,70.11829
2016-02-01,79.5,79.59,70.07,70.14,3929400,64.98969
2016-03-01,70.11,78.53,70.09,74.92,3011300,69.4187
2016-04-01,73.81,76.16,69.79,73.89,2936000,68.46433
2016-05-02,73.0,79.2,71.3,77.43,3298300,71.74439
2016-06-01,76.31,77.955,71.01,74.37,3178300,68.90909
2016-07-01,74.29,78.37,71.26,77.35,3032800,71.67027
2016-08-01,77.43,79.09,71.685,71.81,3573900,69.43451999999999
2016-09-01,71.62,73.63,69.22,72.4,3592000,70.005
2016-10-03,72.94,75.31,72.3,73.39,2618100,70.96226
2016-11-01,72.77,79.05,69.64,78.65,3442100,76.04826
2016-12-01,78.8,83.5,77.37,82.41,2611100,79.68388
2017-01-02,82.41,85.65,81.16,81.66,2453100,78.95869
2017-02-01,81.66,86.09,81.05,82.32,3255400,82.32
2017-03-01,81.98,82.81,81.75,82.81,5557200,82.81
