Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,11.83,12.765,11.76,12.1,1926600,10.92036
2014-04-01,12.31,12.7,11.65,12.35,1286400,11.14599
2014-05-01,12.35,12.97,12.175,12.73,1323800,11.48894
2014-06-02,12.6,12.77,12.27,12.48,1135600,11.26331
2014-07-01,12.3,13.17,12.27,13.15,1245300,11.867989999999999
2014-08-01,13.05,13.13,11.77,12.32,1658000,11.26823
2014-09-01,12.36,12.49,11.86,12.16,1455600,11.121889999999999
2014-10-01,12.03,12.32,11.46,12.27,1519000,11.2225
2014-11-03,12.28,12.53,11.21,11.55,1338900,10.56396
2014-12-01,11.55,12.05,10.875,11.8,1130700,10.79262
2015-01-01,11.8,12.34,11.48,11.63,1293700,10.63713
2015-02-02,11.6,12.64,11.04,12.58,2151800,11.66119
2015-03-02,12.59,13.56,12.52,12.72,1890900,11.79096
2015-04-01,12.7,13.0,12.19,12.31,1552900,11.410910000000001
2015-05-01,12.2,13.01,12.06,12.88,1524100,11.93928
2015-06-01,12.71,12.775,11.62,11.71,1320800,10.85473
2015-07-01,11.75,12.81,11.51,12.36,1523800,11.45725
2015-08-03,12.3,12.38,9.05,9.9,3696400,9.34781
2015-09-01,9.85,10.69,9.53,10.59,2424900,9.99933
2015-10-01,10.54,10.99,10.34,10.81,1862300,10.20706
2015-11-02,10.76,11.96,10.4,11.65,1692600,11.000210000000001
2015-12-01,11.6,11.82,11.12,11.62,1414700,10.97188
2016-01-01,11.62,11.72,10.26,10.4,1385800,9.819930000000001
2016-02-01,10.49,10.88,8.92,9.1,2452900,8.81086
2016-03-01,9.09,10.1,9.05,9.78,1413200,9.46926
2016-04-01,9.65,10.49,9.41,10.11,1336200,9.78877
2016-05-02,10.09,10.84,9.8,10.74,1478900,10.398760000000001
2016-06-01,10.59,10.79,8.905,9.17,1906000,8.878639999999999
2016-07-01,9.24,9.4,8.76,8.88,2300500,8.59785
2016-08-01,8.85,10.27,8.64,9.88,2218600,9.74311
2016-09-01,9.85,10.5,9.85,10.32,1556800,10.177010000000001
2016-10-03,10.38,10.995,10.3,10.55,1528400,10.40382
2016-11-01,10.53,11.87,10.07,11.6,2036400,11.43928
2016-12-01,11.6,12.52,11.52,12.46,1577200,12.287360000000001
2017-01-02,12.46,13.04,12.0,12.89,1339300,12.7114
2017-02-01,12.65,14.13,12.51,13.51,2037200,13.51
2017-03-01,13.45,13.49,13.3,13.49,2543600,13.49
