Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,72.15,72.82,69.56,69.56,1158600,65.89568
2014-04-01,69.63,70.94,67.1,68.43,974200,64.82521
2014-05-01,68.85,71.0,67.92,70.59,999100,66.87142
2014-06-02,70.5,71.4,66.16,66.55,1283200,63.04425
2014-07-01,66.31,69.05,66.31,67.8,891700,64.2284
2014-08-01,66.25,74.97,63.77,73.87,1849700,69.97864
2014-09-01,73.54,75.13,71.95,74.17,1048300,70.88905
2014-10-01,73.13,80.27,71.04,80.19,1360400,76.64275
2014-11-03,79.7,83.33,77.91,82.57,1279200,78.91747
2014-12-01,82.9,89.07,82.46,86.68,1147400,82.84566
2015-01-01,86.68,89.0,82.22,87.95,1044400,84.05948000000001
2015-02-02,87.93,92.715,81.48,92.24,1738000,88.15971
2015-03-02,92.42,96.6,90.81,92.12,1240000,88.75747
2015-04-01,92.55,96.3,89.89,90.98,1015900,87.65908
2015-05-01,90.52,94.09,86.3,93.5,1159200,90.08709
2015-06-01,93.5,94.71,85.4,86.47,1311300,83.3137
2015-07-01,86.21,99.33,86.21,98.96,1250500,95.34779
2015-08-03,99.55,102.43,87.11,91.87,1427200,88.51659000000001
2015-09-01,91.31,92.95,87.68,89.2,1097900,86.81033000000001
2015-10-01,89.04,94.53,88.02,93.79,928200,91.27736999999999
2015-11-02,94.02,100.48,92.1,100.11,1065600,97.42805
2015-12-01,100.0,107.0,97.17,105.31,929300,102.48874
2016-01-01,105.31,108.68,101.41,104.0,1014600,101.21384
2016-02-01,105.62,108.5,100.13,102.72,1195800,99.96813
2016-03-01,102.58,105.47,98.545,101.44,1133100,99.86567
2016-04-01,100.09,105.49,99.0,105.18,1078900,103.54762
2016-05-02,105.45,117.61,104.25,115.76,1062600,113.96342
2016-06-01,115.52,117.61,105.88,112.18,1146400,110.43898
2016-07-01,111.92,121.25,109.84,118.0,957300,116.16866
2016-08-01,118.5,119.19,107.12,108.1,1039000,106.4223
2016-09-01,108.1,109.75,99.5,107.0,1279900,106.28115
2016-10-03,107.11,107.89,98.7,100.51,818400,99.83475
2016-11-01,101.19,104.31,95.74,98.0,1155700,97.34161
2016-12-01,99.1,100.84,91.62,100.41,1010200,99.73543000000001
2017-01-02,100.41,115.99,98.94,112.3,1122800,111.54555
2017-02-01,112.7,123.24,111.28,117.86,1199900,117.06818999999999
2017-03-01,117.85,118.99,117.48,118.12,1871000,117.32645
