Date,Open,High,Low,Close,Volume,Adj Close
2016-02-04,3.92,4.21,3.5,3.63,14243800,3.63
2016-03-01,3.6,4.03,3.6,3.94,4345800,3.94
2016-04-01,3.91,4.37,3.86,4.3,3033100,4.3
2016-05-02,4.26,5.855,4.2,5.81,3983800,5.81
2016-06-01,5.58,5.7,3.84,4.17,9488400,4.17
2016-07-01,4.15,4.53,3.59,4.46,4198800,4.46
2016-08-01,4.54,4.71,4.33,4.66,2362000,4.66
2016-09-01,4.7,4.85,4.24,4.39,3687400,4.39
2016-10-03,4.45,4.6,4.14,4.31,1857200,4.31
2016-11-01,4.28,5.0,4.2,4.62,2899100,4.62
2016-12-01,4.74,4.85,4.53,4.82,1835700,4.82
2017-01-02,4.82,4.89,4.62,4.72,1468200,4.72
2017-02-01,4.53,4.7,4.24,4.24,2853600,4.24
2017-03-01,4.24,4.25,4.21,4.25,15350600,4.25
