Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,5.35,5.6,4.665,5.25,25416100,4.64101
2014-04-01,5.31,5.73,4.9,5.05,16907000,4.46421
2014-05-01,4.94,5.02,4.31,4.41,22641600,3.89845
2014-06-02,4.3,4.65,3.91,4.35,23362200,3.8454099999999998
2014-07-01,4.41,5.03,4.22,4.92,21120500,4.34929
2014-08-01,4.72,4.79,4.01,4.17,20165100,3.68629
2014-09-01,4.16,4.16,3.4,3.48,24887300,3.18546
2014-10-01,3.42,3.86,3.15,3.5,22620500,3.20376
2014-11-03,3.47,3.48,2.57,2.94,34686000,2.69116
2014-12-01,2.97,2.97,2.31,2.74,26408300,2.50809
2015-01-01,2.74,2.91,1.92,2.36,30063800,2.16025
2015-02-02,2.35,2.765,2.29,2.49,20511000,2.27925
2015-03-02,2.49,2.53,1.795,1.96,23313900,1.8255299999999999
2015-04-01,1.92,2.63,1.75,2.17,32326600,2.0211200000000002
2015-05-01,2.25,2.65,2.01,2.42,25486700,2.2539700000000003
2015-06-01,2.35,2.49,1.88,1.91,14039100,1.7789599999999999
2015-07-01,1.85,1.945,1.61,1.855,29767400,1.72773
2015-08-03,1.82,2.02,1.5819999999999999,1.91,26606900,1.7789599999999999
2015-09-01,1.93,2.15,1.66,1.82,19197700,1.72165
2015-10-01,1.82,2.65,1.755,2.09,23478500,1.9770599999999998
2015-11-02,2.1,2.44,1.96,1.96,16886300,1.85408
2015-12-01,1.96,2.02,1.702,1.87,13354200,1.76895
2016-01-01,1.87,1.925,1.44,1.73,23051700,1.6365100000000001
2016-02-01,1.78,2.27,1.555,2.04,21660000,1.92976
2016-03-01,2.07,3.29,2.07,2.55,22451300,2.4608
2016-04-01,2.52,3.65,2.47,3.41,23206700,3.29072
2016-05-02,3.4,3.48,2.81,2.98,23039900,2.8757599999999996
2016-06-01,2.97,3.585,2.91,3.5,17596400,3.3775699999999995
2016-07-01,3.58,4.7,3.56,4.43,18892800,4.27504
2016-08-01,4.45,5.13,4.31,4.9,19026000,4.7286
2016-09-01,4.87,5.3,4.61,4.95,16998900,4.95
2016-10-03,5.0,5.625,4.79,5.5,14985700,5.5
2016-11-01,5.45,6.44,5.15,5.87,24085100,5.87
2016-12-01,6.01,6.96,5.77,5.89,16927900,5.89
2017-01-02,5.89,6.72,5.84,6.66,14632700,6.66
2017-02-01,6.78,7.27,6.32,6.63,21238700,6.63
2017-03-01,6.56,6.695,6.53,6.6,42009000,6.6
