Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,5.41,5.64,5.34,5.57,11445100,4.537
2014-04-01,5.55,5.81,5.45,5.74,6200300,4.676
2014-05-01,5.76,5.98,5.66,5.95,6389400,4.8469999999999995
2014-06-02,5.95,6.02,5.74,5.84,5568000,4.757
2014-07-01,5.84,6.32,5.75,6.3,6772400,5.132000000000001
2014-08-01,6.3,6.55,5.955,6.47,7315300,5.27
2014-09-01,6.47,6.61,6.01,6.12,7408700,5.287999999999999
2014-10-01,6.1,6.58,5.875,6.52,8457400,5.6339999999999995
2014-11-03,6.56,6.61,6.26,6.37,8194100,5.504
2014-12-01,6.38,6.45,6.1,6.25,5829800,5.401
2015-01-01,6.25,6.5,6.17,6.4,5958400,5.53
2015-02-02,6.45,6.58,5.73,6.1,11815100,5.271
2015-03-02,6.0,6.2,5.68,6.1,8874400,5.437
2015-04-01,6.0,6.14,5.53,5.81,9731000,5.178
2015-05-01,5.82,5.84,5.43,5.66,8460000,5.044
2015-06-01,5.66,5.91,5.31,5.58,10670800,4.973
2015-07-01,5.62,5.95,5.49,5.89,5903100,5.249
2015-08-03,5.91,5.98,5.01,5.07,10032400,4.519
2015-09-01,5.05,5.17,4.72,4.84,10423500,4.52
2015-10-01,4.87,5.74,4.84,5.61,7301500,5.239
2015-11-02,5.6,5.73,5.445,5.54,6939400,5.1739999999999995
2015-12-01,5.57,5.78,5.12,5.56,6125100,5.193
2016-01-01,5.56,5.64,4.93,5.27,6377400,4.922
2016-02-01,5.3,5.59,5.01,5.17,8320900,4.999
2016-03-01,5.14,5.685,5.08,5.58,6424700,5.396
2016-04-01,5.52,5.85,5.24,5.77,5723300,5.579
2016-05-02,5.75,6.1,5.72,5.88,5758200,5.686
2016-06-01,5.83,5.86,5.325,5.45,5896500,5.27
2016-07-01,5.44,6.06,5.39,6.04,5747600,5.84
2016-08-01,6.03,6.17,5.54,5.56,9023100,5.376
2016-09-01,5.55,5.66,5.215,5.47,5681400,5.47
2016-10-03,5.47,5.67,5.45,5.51,5739100,5.51
2016-11-01,5.45,5.725,5.11,5.59,5891900,5.59
2016-12-01,5.63,6.06,5.52,5.99,4791900,5.99
2017-01-02,5.99,6.25,5.71,5.77,5371800,5.77
2017-02-01,5.8,6.18,5.71,6.0,7506100,6.0
2017-03-01,6.02,6.03,5.96,6.01,11967800,6.01
