Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,10.99,12.1,10.76,11.85,2371800,10.33972
2014-04-01,11.77,13.1,11.695,12.95,2019300,11.29953
2014-05-01,13.02,13.8,12.52,13.41,2010600,11.7009
2014-06-02,13.41,13.87,12.96,13.11,1806300,11.43914
2014-07-01,13.1,13.62,12.95,13.58,1500200,11.84924
2014-08-01,13.54,14.355,13.005,14.3,2302600,12.47747
2014-09-01,13.95,14.61,13.76,14.34,2009700,12.95633
2014-10-01,14.29,15.89,14.25,15.66,2597500,14.148970000000002
2014-11-03,15.76,16.31,15.03,15.33,1955500,13.850810000000001
2014-12-01,15.41,16.83,14.93,16.4,1554000,14.81756
2015-01-01,16.4,16.95,15.61,16.68,1585200,15.07055
2015-02-02,16.75,17.72,16.45,17.35,1927400,15.920689999999999
2015-03-02,17.44,17.7,15.77,16.64,2041800,15.269179999999999
2015-04-01,16.67,17.34,15.51,16.05,1558800,14.727789999999999
2015-05-01,15.84,16.84,15.65,16.66,2028400,15.28754
2015-06-01,16.73,16.79,14.8,15.03,2032300,13.791820000000001
2015-07-01,14.95,16.1,14.82,15.59,1550100,14.305679999999999
2015-08-03,15.61,15.77,13.4,13.94,2462200,13.05793
2015-09-01,13.97,14.01,12.09,12.55,2919000,11.75588
2015-10-01,12.6,13.47,12.14,13.0,2864000,12.17741
2015-11-02,13.07,13.35,11.78,12.75,2264100,11.94323
2015-12-01,12.81,14.54,12.64,14.26,1786600,13.357679999999998
2016-01-01,14.26,14.42,12.64,12.99,1608800,12.16804
2016-02-01,13.19,13.42,11.48,13.03,2941100,12.4861
2016-03-01,13.03,14.45,12.92,13.87,1871300,13.29103
2016-04-01,13.69,13.78,12.385,12.7,2023400,12.16987
2016-05-02,12.69,13.82,12.5,13.43,1897000,12.8694
2016-06-01,13.24,13.78,11.95,12.6,1904200,12.07405
2016-07-01,12.64,13.62,11.74,13.41,2295400,12.85023
2016-08-01,13.53,14.86,13.1,13.82,2160600,13.521920000000001
2016-09-01,13.78,14.28,13.15,14.04,2147600,13.737179999999999
2016-10-03,14.0,14.63,13.21,13.52,1938500,13.22839
2016-11-01,13.6,13.72,12.53,13.61,1614900,13.31645
2016-12-01,13.67,14.72,13.29,14.62,1872300,14.304670000000002
2017-01-02,14.62,14.68,13.57,14.09,1640600,13.7861
2017-02-01,14.05,15.84,14.0,15.23,1733900,14.90151
2017-03-01,15.23,15.37,15.21,15.3,6490600,14.97
