Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,24.0,24.44,21.0,21.88,1510600,18.64425
2014-04-01,21.6,22.1,21.25,21.87,862400,18.63573
2014-05-01,22.0,22.37,19.5,19.66,1316900,17.14818
2014-06-02,19.71,19.79,18.43,19.48,1442300,16.99118
2014-07-01,19.66,22.57,19.17,22.0,1833600,19.189220000000002
2014-08-01,21.8,22.01,20.21,20.5,1667200,17.880860000000002
2014-09-01,20.6,21.14,18.67,18.9,1314700,16.48528
2014-10-01,18.69,20.73,18.2,20.6,1195400,17.96808
2014-11-03,20.7,21.02,17.88,18.2,1548000,15.874720000000002
2014-12-01,17.9,19.29,16.87,18.95,1356400,17.13756
2015-01-01,18.95,19.25,17.11,18.14,1239600,16.40503
2015-02-02,18.14,20.32,18.06,19.82,1873400,17.92435
2015-03-02,20.25,20.71,18.0,20.01,2322400,18.09618
2015-04-01,19.79,20.97,18.97,20.2,1746400,18.26801
2015-05-01,20.04,22.21,19.46,21.89,2360200,20.2219
2015-06-01,21.69,22.73,20.95,21.28,1609700,19.658379999999998
2015-07-01,21.04,21.79,18.94,19.21,1965000,17.74612
2015-08-03,19.3,19.38,14.79,15.86,3147500,14.65141
2015-09-01,15.86,15.87,14.75,15.04,2118300,13.893889999999999
2015-10-01,15.08,17.23,15.07,16.48,1701900,15.224160000000001
2015-11-02,16.62,17.155,14.89,15.8,2019300,15.205720000000001
2015-12-01,15.75,15.91,14.25,15.5,1354500,14.917
2016-01-01,15.5,15.69,13.52,14.22,1604600,13.685139999999999
2016-02-01,14.29,14.5,12.49,14.25,1513800,13.714020000000001
2016-03-01,14.2,16.165,14.05,15.37,1711900,14.791889999999999
2016-04-01,15.21,15.62,14.26,15.3,1192300,14.724520000000002
2016-05-02,15.1,15.73,13.035,13.6,2040900,13.327670000000001
2016-06-01,13.49,13.51,12.04,12.33,2015000,12.0831
2016-07-01,12.3,14.4,12.145,14.15,1836800,13.86665
2016-08-01,14.13,15.48,13.97,14.76,1459600,14.46444
2016-09-01,14.75,15.34,13.71,15.2,1899700,14.895629999999999
2016-10-03,15.41,17.09,15.33,16.29,1436100,15.9638
2016-11-01,16.06,17.91,15.27,16.98,1657800,16.98
2016-12-01,17.51,17.95,16.66,17.68,1200000,17.68
2017-01-02,17.68,19.32,17.68,18.75,903800,18.75
2017-02-01,18.55,18.95,18.25,18.29,1154900,18.29
2017-03-01,18.33,18.77,18.29,18.71,5341800,18.71
