Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,51.5,53.16,48.82,50.0,139200,40.077
2014-04-01,49.54,50.5,45.84,46.9,115700,37.592
2014-05-01,46.99,48.19,44.75,47.06,113900,37.721
2014-06-02,47.08,48.26,45.8,47.38,105400,37.977
2014-07-01,47.35,49.82,46.54,48.82,144300,39.131
2014-08-01,48.32,49.72,45.28,49.53,206900,39.7
2014-09-01,49.7,50.98,43.81,44.18,153300,36.431
2014-10-01,43.7,46.48,41.3,46.45,185700,38.303000000000004
2014-11-03,46.45,49.7,46.0,48.38,134700,39.895
2014-12-01,47.99,48.48,43.88,46.3,126500,38.18
2015-01-01,46.3,49.25,44.11,49.18,157300,40.555
2015-02-02,48.6,54.83,47.9,54.71,184900,45.115
2015-03-02,54.71,56.09,51.86,55.02,173000,46.78
2015-04-01,54.61,58.48,53.96,54.16,144700,46.049
2015-05-01,54.42,57.22,52.46,56.48,138300,48.021
2015-06-01,56.13,57.0,47.31,48.36,201700,41.117
2015-07-01,48.02,51.03,43.24,44.85,345900,38.133
2015-08-03,45.0,45.02,37.25,43.14,324000,36.679
2015-09-01,41.63,41.9,38.51,39.64,249500,35.159
2015-10-01,39.64,45.1,38.77,44.91,210100,39.833
2015-11-02,44.96,46.48,43.01,46.0,199100,40.8
2015-12-01,46.05,47.24,42.94,46.65,172100,41.376000000000005
2016-01-01,46.65,47.58,39.53,41.31,214800,36.64
2016-02-01,41.72,43.07,37.73,41.45,198400,36.764
2016-03-01,40.22,43.88,40.08,43.56,178800,40.375
2016-04-01,42.88,43.95,40.76,42.75,144300,39.624
2016-05-02,42.62,43.83,40.68,43.55,193800,40.366
2016-06-01,42.95,43.31,39.09,41.12,176900,38.113
2016-07-01,41.1,45.71,39.32,45.5,142200,42.173
2016-08-01,45.6,50.16,44.56,48.68,152300,45.121
2016-09-01,48.5,49.27,44.23,46.7,178200,45.023999999999994
2016-10-03,46.75,48.2,45.04,45.24,122700,43.617
2016-11-01,45.0,48.35,42.55,47.57,122700,45.863
2016-12-01,47.8,48.9,45.75,48.76,134400,47.01
2017-01-02,48.76,49.95,46.28,46.8,156500,45.121
2017-02-01,46.33,51.78,45.21,51.76,186800,49.903
2017-03-01,49.9,50.49,49.3,50.49,648000,50.49
