Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,16.99,18.54,16.48,17.57,2072200,15.565999999999999
2014-04-01,17.5,18.04,15.78,16.72,1316000,14.98
2014-05-01,16.89,17.73,16.13,16.93,917700,15.168
2014-06-02,17.05,17.28,15.85,15.85,1362500,14.200999999999999
2014-07-01,15.85,17.14,15.8,16.59,979800,14.864
2014-08-01,16.37,17.54,16.08,17.47,1333400,15.652000000000001
2014-09-01,17.63,17.77,16.13,16.21,977600,14.722999999999999
2014-10-01,16.06,16.67,15.17,16.57,1123900,15.05
2014-11-03,16.65,18.23,16.44,17.09,1259000,15.522
2014-12-01,17.1,17.79,15.8,17.27,924800,15.685
2015-01-01,17.27,18.14,16.2,17.85,801200,16.212
2015-02-02,17.91,18.99,16.56,17.29,1556800,15.704
2015-03-02,17.35,18.02,16.53,17.12,1670300,15.795
2015-04-01,17.1,17.18,16.07,16.25,1343100,14.993
2015-05-01,16.2,17.1,15.57,16.92,1365300,15.610999999999999
2015-06-01,16.88,17.0,13.5,14.06,2337300,12.972000000000001
2015-07-01,14.0,15.22,13.69,15.1,1379600,13.932
2015-08-03,15.1,15.59,11.86,12.34,2351600,11.385
2015-09-01,12.18,12.44,11.4,12.0,1597700,11.305
2015-10-01,11.93,13.07,11.93,12.83,1112300,12.087
2015-11-02,12.76,14.64,12.76,13.88,1457400,13.075999999999999
2015-12-01,13.98,15.62,13.68,15.38,964600,14.49
2016-01-01,15.38,15.38,13.58,14.48,1216100,13.642000000000001
2016-02-01,14.7,15.64,12.35,15.52,1749900,14.622
2016-03-01,15.52,16.59,15.23,16.18,1335200,15.243
2016-04-01,16.02,16.44,15.165,16.37,863100,15.719000000000001
2016-05-02,16.4,17.16,15.67,16.3,1086500,15.652000000000001
2016-06-01,16.16,16.5,14.55,15.21,1320400,14.605
2016-07-01,15.3,16.74,14.71,16.7,881800,16.035999999999998
2016-08-01,16.65,17.04,15.65,16.07,863200,15.431
2016-09-01,15.99,16.25,14.75,15.56,903400,15.213
2016-10-03,15.56,15.76,14.52,14.64,829600,14.314
2016-11-01,14.5,15.05,13.67,14.81,903700,14.48
2016-12-01,14.99,15.23,14.25,14.88,730400,14.548
2017-01-02,14.88,15.35,14.3,14.44,723500,14.118
2017-02-01,14.3,16.0,14.22,15.69,1114900,15.34
2017-03-01,15.62,15.72,15.44,15.47,3977600,15.125
