Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,2.34,2.37,2.22,2.29,1755900,1.94658
2014-04-01,2.28,2.56,2.26,2.55,2235400,2.16759
2014-05-01,2.57,2.58,2.405,2.45,1747400,2.08258
2014-06-02,2.45,2.56,2.43,2.47,1212700,2.09958
2014-07-01,2.51,2.7,2.46,2.6,1962600,2.21009
2014-08-01,2.57,2.73,2.45,2.67,1682800,2.26959
2014-09-01,2.66,2.81,2.56,2.66,1665900,2.3364599999999998
2014-10-01,2.66,2.85,2.54,2.8,1298100,2.45943
2014-11-03,2.8,2.99,2.73,2.83,1333000,2.48578
2014-12-01,2.85,3.03,2.68,2.99,1117900,2.62632
2015-01-01,2.99,3.28,2.92,3.15,1065000,2.76686
2015-02-02,3.14,3.35,2.96,3.16,1414100,2.77564
2015-03-02,3.16,3.205,2.81,2.93,1810600,2.6484099999999997
2015-04-01,2.93,3.09,2.73,2.81,1162000,2.53995
2015-05-01,2.83,2.865,2.465,2.57,2176600,2.32301
2015-06-01,2.56,2.69,2.43,2.48,1539700,2.24166
2015-07-01,2.48,2.7,2.44,2.69,1296600,2.43148
2015-08-03,2.69,3.04,2.35,3.04,2123000,2.74784
2015-09-01,2.95,3.07,2.7,2.71,2568100,2.53721
2015-10-01,2.71,3.195,2.68,3.19,1265400,2.9866099999999998
2015-11-02,3.19,3.25,2.9,3.0,1124800,2.80872
2015-12-01,3.0,3.16,2.84,3.11,928600,2.91171
2016-01-01,3.11,3.18,2.98,3.1,971900,2.90235
2016-02-01,3.11,3.26,2.95,3.18,1092300,2.97725
2016-03-01,3.19,3.31,3.03,3.29,1058800,3.17949
2016-04-01,3.29,3.42,3.07,3.38,1096900,3.26647
2016-05-02,3.4,3.5,3.31,3.41,1256100,3.29546
2016-06-01,3.4,3.5,3.16,3.37,1140200,3.2568
2016-07-01,3.38,3.75,3.35,3.75,1206000,3.62404
2016-08-01,3.75,3.835,3.46,3.65,908000,3.5274
2016-09-01,3.65,3.78,3.33,3.44,1090000,3.44
2016-10-03,3.47,3.47,3.22,3.4,958800,3.4
2016-11-01,3.4,3.48,3.08,3.45,1006900,3.45
2016-12-01,3.45,3.49,3.22,3.29,873200,3.29
2017-01-02,3.29,3.515,3.285,3.43,878500,3.43
2017-02-01,3.38,3.47,3.22,3.32,1114300,3.32
2017-03-01,3.34,3.37,3.31,3.32,4126600,3.32
