Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,12.2,12.92,12.07,12.87,4407400,10.240960000000001
2014-04-01,12.78,13.2,12.605,13.02,2584500,10.36032
2014-05-01,13.01,13.7,12.93,13.35,3559000,10.622910000000001
2014-06-02,13.41,13.7,13.12,13.54,3266900,10.77409
2014-07-01,13.58,14.36,13.32,14.29,3316300,11.37088
2014-08-01,14.21,15.37,13.8,14.43,5358600,11.92896
2014-09-01,14.6,14.91,13.9,14.04,3408800,11.60655
2014-10-01,13.97,14.67,13.61,14.65,3484500,12.11083
2014-11-03,14.69,15.08,14.11,14.34,2973600,11.854560000000001
2014-12-01,14.42,14.55,13.44,14.06,3235700,11.62309
2015-01-01,14.06,14.83,13.65,14.72,2983100,12.16869
2015-02-02,14.77,14.95,13.57,13.98,6052700,12.00136
2015-03-02,14.0,14.11,13.18,13.5,4702800,11.5893
2015-04-01,13.5,14.22,13.025,13.115,3666000,11.25879
2015-05-01,13.2,13.63,12.68,13.53,3909900,11.61505
2015-06-01,13.4,13.89,13.01,13.43,3627300,11.52921
2015-07-01,13.52,14.45,13.37,14.27,3477100,12.25032
2015-08-03,14.3,14.7,12.18,12.83,4555000,11.446860000000001
2015-09-01,12.9,12.9,11.97,12.19,4655900,10.87585
2015-10-01,12.28,13.47,11.88,13.11,4901000,11.69667
2015-11-02,13.17,13.63,12.6,13.39,3930100,11.946480000000001
2015-12-01,13.49,13.74,11.26,12.14,4478700,10.83124
2016-01-01,12.14,12.25,11.2,11.61,3705200,10.35838
2016-02-01,11.75,11.97,10.11,11.2,5434800,10.38117
2016-03-01,11.22,12.04,11.12,11.91,3470200,11.03926
2016-04-01,11.72,12.66,11.55,12.5,3455300,11.58613
2016-05-02,12.38,13.28,12.24,12.98,4165700,12.03103
2016-06-01,12.82,12.9,11.55,12.18,3968500,11.28952
2016-07-01,12.15,13.51,11.96,13.43,3045900,12.44813
2016-08-01,13.44,13.85,12.63,12.71,3756000,12.26684
2016-09-01,12.6,12.94,12.09,12.11,3427100,11.68776
2016-10-03,12.11,12.66,11.92,11.97,2653500,11.55264
2016-11-01,11.9,12.63,11.27,12.5,3313200,12.064160000000001
2016-12-01,12.62,13.7,12.52,13.52,3106500,13.0486
2017-01-02,13.52,13.95,12.76,13.03,3021600,12.57568
2017-02-01,12.98,13.75,12.82,13.27,3733700,13.27
2017-03-01,13.25,13.315,13.16,13.27,6412200,13.27
