Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,4.07,4.29,4.03,4.19,5711700,3.62426
2014-04-01,4.17,4.26,4.09,4.22,4127100,3.65021
2014-05-01,4.25,4.45,4.215,4.39,3931000,3.7972599999999996
2014-06-02,4.39,4.475,4.22,4.22,4317000,3.7498
2014-07-01,4.24,4.39,4.225,4.3,4037500,3.8208900000000003
2014-08-01,4.27,4.46,4.2,4.43,5198500,3.9364
2014-09-01,4.46,4.58,4.2,4.27,4945000,3.79423
2014-10-01,4.27,4.44,4.05,4.41,4837700,3.9186300000000003
2014-11-03,4.42,4.58,4.36,4.44,5038500,3.94529
2014-12-01,4.46,4.95,4.4,4.71,4139900,4.29094
2015-01-01,4.71,5.02,4.7,4.99,4638700,4.5460199999999995
2015-02-02,4.99,5.25,4.93,5.16,5279400,4.7009
2015-03-02,5.15,5.38,5.09,5.18,5823500,4.719119999999999
2015-04-01,5.24,5.5,5.22,5.39,3830200,4.91043
2015-05-01,5.37,5.74,5.13,5.69,6981500,5.18374
2015-06-01,5.63,5.63,4.85,4.98,7958600,4.648
2015-07-01,5.13,5.64,5.13,5.61,6124300,5.236000000000001
2015-08-03,5.61,5.88,5.44,5.75,6862400,5.36667
2015-09-01,5.76,6.2,5.6,5.96,8714200,5.56267
2015-10-01,5.96,6.54,5.9,6.45,6241900,6.02
2015-11-02,6.5,6.67,6.06,6.6,5876500,6.16
2015-12-01,6.62,6.69,5.99,6.35,4967300,6.04995
2016-01-01,6.35,6.7,5.83,6.58,7352800,6.269080000000001
2016-02-01,6.67,6.74,6.33,6.45,5392000,6.14522
2016-03-01,6.44,6.74,6.33,6.69,4702200,6.373880000000001
2016-04-01,6.65,6.88,6.56,6.81,4441300,6.48821
2016-05-02,6.8,7.48,6.73,7.08,5752800,6.74545
2016-06-01,7.08,7.315,6.835,6.94,5384300,6.75707
2016-07-01,6.94,7.57,6.91,7.56,4831500,7.36072
2016-08-01,7.57,7.62,7.21,7.28,4242500,7.08811
2016-09-01,7.28,7.32,6.395,6.97,6525900,6.7862800000000005
2016-10-03,6.97,7.01,6.04,6.26,7011000,6.09499
2016-11-01,6.25,6.34,5.82,6.28,7050000,6.11446
2016-12-01,6.25,6.645,5.87,5.99,9064200,5.99
2017-01-02,5.99,6.11,5.85,5.85,6158700,5.85
2017-02-01,5.88,6.32,5.8,6.06,6628000,6.06
2017-03-01,6.06,6.13,6.05,6.13,11025400,6.13
