Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,5.06,5.14,4.96,5.08,30015700,4.18525
2014-04-01,5.07,5.24,5.02,5.22,20071400,4.300590000000001
2014-05-01,5.22,5.4,5.17,5.34,20907600,4.39945
2014-06-02,5.35,5.39,5.16,5.21,24893200,4.29235
2014-07-01,5.23,5.53,5.185,5.49,19871400,4.52303
2014-08-01,5.46,5.76,5.39,5.56,33147900,4.7583400000000005
2014-09-01,5.58,5.75,5.27,5.3,25574000,4.535830000000001
2014-10-01,5.31,5.63,5.23,5.63,28866000,4.81825
2014-11-03,5.64,5.8,5.59,5.69,23556600,4.8696
2014-12-01,5.7,6.05,5.59,5.97,21514200,5.10923
2015-01-01,5.97,6.56,5.9,6.5,21471100,5.56281
2015-02-02,6.48,6.735,6.24,6.37,33678800,5.63478
2015-03-02,6.36,6.47,6.11,6.31,25119300,5.58171
2015-04-01,6.32,6.4,6.12,6.23,21416600,5.51094
2015-05-01,6.23,6.42,5.96,6.22,27416000,5.50209
2015-06-01,6.2,6.34,5.95,6.14,24713500,5.43133
2015-07-01,6.12,6.49,6.08,6.49,20947800,5.7409300000000005
2015-08-03,6.48,6.53,5.65,5.77,35011100,5.30376
2015-09-01,5.76,5.8,5.47,5.61,31347400,5.15669
2015-10-01,5.62,5.78,5.275,5.4,32269300,4.96366
2015-11-02,5.39,5.48,5.06,5.36,27778600,4.92689
2015-12-01,5.37,5.665,5.14,5.61,23271500,5.15669
2016-01-01,5.61,5.66,5.2,5.63,22098700,5.17507
2016-02-01,5.66,5.69,5.125,5.25,32925300,4.82578
2016-03-01,5.04,5.37,4.98,5.33,26716400,5.11505
2016-04-01,5.27,5.47,5.11,5.36,21257400,5.14384
2016-05-02,5.41,5.79,5.405,5.59,23189100,5.36457
2016-06-01,5.56,5.62,5.22,5.56,28889700,5.335780000000001
2016-07-01,5.58,5.86,5.46,5.77,20082400,5.53731
2016-08-01,5.76,5.8,5.23,5.26,33093000,5.26
2016-09-01,5.26,5.29,4.92,5.18,28847300,5.18
2016-10-03,5.2,5.22,4.935,4.98,30000500,4.98
2016-11-01,5.0,5.07,4.7,5.05,28122300,5.05
2016-12-01,5.06,5.12,4.89,5.1,21277600,5.1
2017-01-02,5.1,5.29,5.0,5.0,20805200,5.0
2017-02-01,5.01,5.23,4.8,4.82,33159800,4.82
2017-03-01,4.63,4.67,4.62,4.64,92440000,4.64
