Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,42.93996,43.81997,41.01003,41.18997,2699300,33.918690000000005
2014-04-01,41.17002,44.109970000000004,41.05996,42.71001,1819400,35.1704
2014-05-01,43.0,43.71,42.250009999999996,43.359970000000004,1673700,35.70562
2014-06-02,43.32999,43.69998,41.05003,41.84002,2235200,34.453990000000005
2014-07-01,42.000009999999996,44.01995,41.44999,44.01995,1850000,36.2491
2014-08-01,43.47003,45.88,42.31005,43.30995,2609700,36.998940000000005
2014-09-01,43.64996,44.35996,41.89997,42.15999,1987800,36.01655
2014-10-01,41.60005,44.15998,39.63003,44.140029999999996,2247300,37.70807
2014-11-03,44.19998,44.98005,41.42,41.42,2298700,35.06371
2014-12-01,41.75,43.01,40.26,41.72,2181900,35.317679999999996
2015-01-01,41.72,44.0,41.22,43.59,2074900,36.90071
2015-02-02,43.5,46.95,43.5,43.85,2725800,38.159490000000005
2015-03-02,43.82,44.62,42.73,43.96,2540800,38.25522
2015-04-01,43.58,44.7,41.82,43.71,2148400,38.037659999999995
2015-05-01,43.49,45.0,43.04,43.66,2646900,37.99415
2015-06-01,43.55,43.63,38.45,39.03,2783200,33.965
2015-07-01,38.92,42.59,38.86,42.45,2145900,36.941179999999996
2015-08-03,42.3,43.36,38.6,40.66,3139300,36.84217
2015-09-01,40.77,40.88,38.06,39.22,2853700,35.53738
2015-10-01,39.1,42.2,39.01,39.41,2655600,35.709540000000004
2015-11-02,39.63,39.84,36.65,38.09,2372500,34.51348
2015-12-01,38.36,42.38,37.17,41.61,2133100,37.70297
2016-01-01,41.61,42.445,38.89,42.17,2539000,38.21038
2016-02-01,42.49,44.12,39.055,39.09,3187300,36.59933
2016-03-01,38.9,42.54,38.7,41.45,2252800,38.80896
2016-04-01,41.0,42.77,39.31,42.77,2278700,40.04486
2016-05-02,42.51,43.81,40.22,40.63,2517600,38.04121
2016-06-01,40.21,41.27,38.62,40.1,2592900,37.544979999999995
2016-07-01,40.2,43.0,39.365,42.93,2034700,40.19466
2016-08-01,42.93,44.56,42.06,42.44,2365200,40.9908
2016-09-01,42.4,44.59,42.03,44.1,2927400,42.59411
2016-10-03,44.07,46.06,40.0,41.01,2917500,39.60962
2016-11-01,40.62,42.4,39.65,41.78,2240000,40.35333
2016-12-01,41.86,42.8,40.05,42.14,2117900,40.70104
2017-01-02,42.14,42.82,40.18,40.26,1901000,38.88523
2017-02-01,40.13,43.49,40.1,42.72,2978700,42.72
2017-03-01,42.58,42.86,42.48,42.86,3957000,42.86
