Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,6.41671,6.578689999999999,6.27965,6.38556,10060700,5.6382
2014-04-01,6.410480000000001,6.86526,6.31703,6.82165,7852400,6.02325
2014-05-01,6.82165,6.92444,6.54442,6.6659,7899600,5.885730000000001
2014-06-02,6.65344,7.32,6.56,7.15,9996600,6.560910000000001
2014-07-01,7.1,7.64,7.04,7.48,6261600,6.86373
2014-08-01,7.3,7.68,7.19,7.62,5877300,6.992189999999999
2014-09-01,7.7,7.81,7.24,7.45,6874400,6.8362
2014-10-01,7.37,7.92,7.28,7.92,7310000,7.267469999999999
2014-11-03,7.98,8.35,7.9,8.29,5072200,7.60699
2014-12-01,8.35,9.41,8.26,9.02,4815100,8.27684
2015-01-01,9.02,10.04,8.98,9.86,5905500,9.04764
2015-02-02,9.9,10.66,9.63,9.81,6657200,9.15051
2015-03-02,9.79,10.43,9.36,9.55,6940400,8.90799
2015-04-01,9.6,10.1,9.25,9.45,4535200,8.81471
2015-05-01,9.49,10.03,8.94,9.68,5863800,9.02925
2015-06-01,9.66,9.71,8.83,9.12,6671000,8.5069
2015-07-01,9.26,10.1,9.04,10.03,5227500,9.35572
2015-08-03,10.05,10.05,9.04,9.75,5738400,9.25731
2015-09-01,9.7,10.08,9.365,9.97,5939700,9.46619
2015-10-01,9.97,10.38,9.815,10.25,3970700,9.73204
2015-11-02,10.12,10.49,9.47,9.6,6057600,9.114889999999999
2015-12-01,9.65,9.88,9.3,9.51,4763700,9.02944
2016-01-01,9.51,10.0,9.05,9.9,4437500,9.39973
2016-02-01,10.03,10.2,9.45,10.0,5578900,9.67051
2016-03-01,10.0,10.28,9.77,9.99,4211800,9.660839999999999
2016-04-01,9.93,10.29,9.7,10.1,4286700,9.76721
2016-05-02,10.14,10.95,10.12,10.72,5841800,10.36678
2016-06-01,10.68,10.915,9.99,10.65,5683200,10.29909
2016-07-01,10.75,11.14,10.56,10.68,5270000,10.3281
2016-08-01,10.63,10.85,10.16,10.22,4530000,10.035680000000001
2016-09-01,10.23,10.25,9.37,9.73,5535700,9.55452
2016-10-03,9.82,9.915,8.745,8.9,6382300,8.73949
2016-11-01,8.85,9.27,8.21,9.14,7285900,8.97516
2016-12-01,9.07,9.45,8.69,9.38,5764400,9.21083
2017-01-02,9.38,9.58,8.75,8.79,5123500,8.63147
2017-02-01,8.82,9.25,8.66,8.8,5299400,8.8
2017-03-01,8.76,8.84,8.72,8.78,9684800,8.78
